location,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653
variable,Temperature,Temperature,Temperature
unit,°C,°C,°C
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected
resolution,daily,daily,daily
aggregation,Maximum,Minimum,Mean
timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected]
20200101T0000,1.6402454,-2.6797547,-1.146838
20200102T0000,3.0002456,-1.7697545,0.07774543
20200103T0000,8.130245,1.6902454,5.2660785
20200104T0000,7.690245,2.6402454,6.081495
20200105T0000,7.150245,-1.1397547,1.9931622
20200106T0000,4.7602453,-1.4997545,0.5369121
20200107T0000,7.4302454,0.5302454,3.723162
20200108T0000,7.7402453,-0.29975462,3.7560787
20200109T0000,13.040245,5.750245,8.103995
20200110T0000,11.050245,7.0302453,9.141496
20200111T0000,8.070246,0.6002454,5.338995
20200112T0000,6.0602455,-0.4597546,1.9148287
20200113T0000,8.540245,0.3802454,3.665662
20200114T0000,10.570246,0.6002454,4.593162
20200115T0000,12.720245,-0.1997546,5.8452454
20200116T0000,12.970245,0.9402454,6.4294124
20200117T0000,7.8502455,-0.2697546,4.227329
20200118T0000,6.8702455,0.97024536,4.7944126
20200119T0000,3.8602452,-0.6697546,1.4994121
20200120T0000,5.920245,-1.1197546,2.4394119
20200121T0000,4.150245,-4.5897546,-1.2464213
20200122T0000,2.2502456,-4.2397547,-1.9022546
20200123T0000,1.5702454,-3.2197547,-1.4147545
20200124T0000,5.960245,-1.8497547,0.5456621
20200125T0000,6.420245,-0.8497546,1.5435785
20200126T0000,7.960245,-0.49975455,3.2206619
20200127T0000,9.130245,4.2702456,6.72983
20200128T0000,9.010245,4.3702455,6.9348283
20200129T0000,7.3402452,3.7902455,5.4294124
20200130T0000,10.520246,3.3002453,7.314829
20200131T0000,14.250245,10.680245,12.243161
20200201T0000,13.910245,10.290245,12.093162
20200202T0000,14.460245,11.230246,12.816913
20200203T0000,16.000246,12.800245,13.506912
20200204T0000,16.530245,3.5002456,6.258578
20200205T0000,7.5702453,-2.0597544,3.8119118
20200206T0000,7.6602454,-2.6997547,1.0602453
20200207T0000,8.460245,-2.9897547,1.0260788
20200208T0000,10.260245,-2.3997545,2.2327452
20200209T0000,15.590245,1.1702454,8.7669115
20200210T0000,14.860246,10.440246,12.097747
20200211T0000,10.130245,4.900245,6.5094123
20200212T0000,7.4102454,3.5602455,5.6656623
20200213T0000,10.100245,-0.33975458,5.1360784
20200214T0000,10.660245,2.0302453,7.039412
20200215T0000,12.460245,0.6602454,5.5002456
20200216T0000,17.200245,7.3002453,12.181079
20200217T0000,15.5602455,6.790245,10.945661
20200218T0000,9.150246,4.420245,6.5077453
20200219T0000,7.920245,4.2102456,6.197746
20200220T0000,12.130245,3.6602454,7.7694125
20200221T0000,9.920245,0.84024537,6.2135787
20200222T0000,13.750245,-0.98975456,6.891912
20200223T0000,15.970245,10.950245,13.349411
20200224T0000,16.510246,10.850245,13.133579
20200225T0000,10.710245,7.040245,8.525246
20200226T0000,6.380245,2.4102454,3.5360787
20200227T0000,8.000245,2.3302455,4.1423287
20200228T0000,9.390245,1.5602454,5.7344117
20200229T0000,16.170246,6.2602453,10.258578
20200301T0000,13.980246,6.500245,9.406494
20200302T0000,7.520245,3.1902456,5.761913
20200303T0000,7.8702455,2.3202453,5.4898295
20200304T0000,9.720245,1.9802454,5.1739955
20200305T0000,10.440246,4.9902453,7.8423276
20200306T0000,8.090245,5.170245,6.0289955
20200307T0000,7.940245,0.3802454,5.113995
20200308T0000,12.070246,0.2602454,5.9589944
20200309T0000,8.320246,4.5602455,7.0327454
20200310T0000,10.280245,3.8402452,7.183162
